"";"cuali";"cuali_clean"
"1";"Amor por el aprendizaje";"amor_por_el_aprendizaje"
"2";"Liderazgo";"liderazgo"
"3";"Curiosidad";"curiosidad"
"4";"Sabiduría";"sabiduria"
"5";"Pensamiento crítico";"pensamiento_critico"
"6";"Pensamiento estratégico";"pensamiento_estrategico"
"7";"Capacidad analítica";"capacidad_analitica"
"8";"Integridad";"integridad"
"9";"Honestidad";"honestidad"
"10";"Amabilidad";"amabilidad"
"11";"Autocontrol";"autocontrol"
"12";"Orden";"orden"
"13";"Prudencia";"prudencia"
"14";"Coherencia";"coherencia"
"15";"Humor";"humor"
"16";"Creatividad";"creatividad"
"17";"Proactividad";"proactividad"
"18";"Humildad";"humildad"
"19";"Paciencia";"paciencia"
"20";"Competencia";"competencia"
"21";"Responsabilidad";"responsabilidad"
"22";"Resiliencia";"resiliencia"
"23";"Concentración";"concentracion"
"24";"Inteligencia emocional";"inteligencia_emocional"
"25";"Compromiso";"compromiso"
"26";"Compañerismo";"companerismo"
"27";"Respeto";"respeto"
"28";"Asertividad";"asertividad"
"29";"Dedicación";"dedicacion"
"30";"Digno de confianza";"digno_de_confianza"
"31";"Sinceridad";"sinceridad"
"32";"Disciplina";"disciplina"
"33";"Solidaridad";"solidaridad"
"34";"Carisma";"carisma"
"35";"Colaboración";"colaboracion"
"36";"Determinación";"determinacion"
"37";"Versatilidad";"versatilidad"
"38";"Eficiencia";"eficiencia"
"39";"Pasividad";"pasividad"
"40";"Perfeccionismo";"perfeccionismo"
"41";"Empatía";"empatia"
"42";"Individualismo";"individualismo"
"43";"Optimismo";"optimismo"
"44";"Tolerancia";"tolerancia"
"45";"Simpatía";"simpatia"
"46";"Soberbia";"soberbia"
"47";"Solitario";"solitario"
"48";"Oratoria";"oratoria"
"49";"Buena gente";"buena_gente"
"50";"Timidez";"timidez"
"51";"Terquedad";"terquedad"
"52";"Procastinación";"procastinacion"
"53";"Actitud controladora";"actitud_controladora"
